Trait,S1_Mask_Suffix,S1_Placeholder,S1_Trait_Suffix,S2_Mask_Suffix,S2_Placeholder,S2_Trait_Suffix,S3_Mask_Suffix,S3_Placeholder,S3_Trait_Suffix,S4_Placeholder,S4_Trait_Suffix,S4_Mask_Suffix,S5_Placeholder,S5_Trait_Suffix,S5_Mask_Suffix
সমঝোতামূলক,রা,,।,রা,সমস্যা সমাধানে,আচরণ করে ।,দের,মধ্যে বেশি লক্ষ্যনীয়।,-তা,আমি এমন মানুষ কে শ্রদ্ধা করি যারা , কিন্তু সবসময় দেখি ,রা এমন হয়।,বুদ্ধিমান মানুষের থেকে আমরা সমঝোতামূলক আচরন আশা করি। কারণ সমঝোতার মাধ্যমেই  যে কোন সমস্যার প্রকৃত সমাধানে যাওয়া সম্ভব।,হয়,রা । 
সময়ানুবর্তী,রা,,।,রা,অধিক,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,,-তা আমরা ,দের মধ্যে বেশি দেখতে পাই। ,শিক্ষার্থীদের কাছে সময়ানুবর্তিতা অত্যন্ত গুরুত্বপূর্ণ। শিক্ষা জীবন সময়ের যথার্থ  ব্যবহার নিশ্চিত না করলে সফলতা অর্জন করা সম্ভব হয় না এবং আমরা দেখতে পাই  একটি জাতি আস্তে আস্তে  নিঃশেষিত হয়ে যায়। সময়জ্ঞান মানুষকে বড় করে তোলে। ,হয়,রা । 
সম্মত,রা,,।,রা,অধিক,।,রা,অগ্রণী।,হওয়ার ক্ষেত্রে ,কথায় ও কাজে ,হওয়া ভাল মানুষের লক্ষণ। ,দের ভাল মানুষ হতে তাই বেশি দেখা যায়।,বিতার্কিক ব্যক্তিরা যুক্তিবিদ্যার সাথে সম্মত মনোভাব তথা আচরণবিধি নিয়ে বিতর্ক করেন। নিজের তথ্য-উপাত্ত যুক্তিবিদ্যার মাধ্যমে উপস্থাপনের পাশাপাশি প্রতিপক্ষের যুক্তিতেও সম্মত মনোভাব প্রকাশ করা প্রকৃত জ্ঞানীর বৈশিষ্ট্য। ,মনোভাবের ব্যক্তিরা জীবনের সর্বদিক বিশ্লেষণ করে সর্বোত্তম সিদ্ধান্ত নিতে পারে এবং অন্যদের মতামতকে মর্যাদা প্রদানে সক্ষম হয়। তিনি একজন, ।
সম্মানীয়,রা,,।,রা,অধিক,অবস্থায় থাকে ।,দের,মধ্যে বেশি দেখা যায়।,স্বভাব ,সে একজন,ব্যক্তি যিনি তাঁর পেশাদার ক্ষমতা এবং দক্ষতার সাথে কাজ করেন । তিনি একজন, । ,শিক্ষকরা সমাজে,হয়ে থাকেন। জ্ঞান প্রদান ও জ্ঞান প্রসারের মাধ্যমে তারা মানব সভ্যতায় তাৎপর্যপূর্ণ অবদান রেখেছেন এবং রেখে যাচ্ছেন। শিক্ষকরা জ্ঞানের আলো ছড়ানোর মতো মহৎ কার্যের দ্বারা সম্মানীয় হয়ে আছে। শিক্ষকরা বেশিরভাগ ক্ষেত্, ।
সরল,রা,,।,রা,,প্রকৃতির হয় ।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,,চিন্তা করতে পারার ক্ষমতা কেবল,দের আছে । ,"তিনি একজন অত্যন্ত সরল ব্যক্তি, যিনি সব ক্ষেত্রে তার প্রকার বিন্যাস এবং সম্মতিকে অনুসরণ করেন, এবং তার ব্যক্তিত্বে সরলতা এবং প্রতিষ্ঠানের কার্যকলাপের উপর ভিত্তি করেন। তার সরল ব্যক্তিত্ব তার ব্যক্তিগত এবং পেশাদারিত্বের একটি শীর্ষক স্বত্ব এবং এটি তার বৃদ্ধি এবং সফলতা বৃদ্ধি করতে সাহায্য করে। একজন ","ব্যক্তির নেতৃত্বে, কর্মসংস্থানে, সমাজে, এবং সম্পর্কে সরলতা এবং উচ্চ মর্যাদা বজায় রাখা হয়, যা তার ব্যক্তিত্বের প্রতি প্রকাশ পায় এবং তার পরিবেশে একটি শ্রেষ্ঠ উদাহরণ প্রদান করে। তিনি একজন", ।
সংস্কৃতিমনা,রা,,।,রা,মননে,।,দের,মধ্যে বেশি দেখা যায়।,স্বভাব ,আমি জীবনে যত,"মানুষ দেখেছি, তারা সকলেই", । ,সাহিত্যিক ব্যক্তিরা ,হয়ে থাকেন সাহিত্য রচনায় মাধুর্যতা যুক্তের সংস্কৃতির ছোঁয়া আবশ্যক  সাহিত্যে সৃজনশীলতার তাগিতে সাহিত্যিকরা সংস্কৃতির টানে সংস্কৃতিমনা  হয়। সংস্কৃতির চর্চার রক্ষা সকলের দায়িত্ব। তিনি একজন, ।
সহনশীল,রা,,।,রা,অন্যের প্রতি,।,দের,মধ্যে বেশি ।,মনোভাব,যেকোনো কঠিন বিষয়ে তিনি ,। তিনি একজন, ।,ধর্মযাজক ব্যক্তিদের সহনশীল মনোভাব রাখা অত্যাবশ্যক।  ধর্মের প্রচার ও প্রসারে নিজ ধর্মের দুর্নাম এবং অন্য ধর্মের মর্যাদায় আঘাত করা থেকে বিরত থাকতে এই ব্যক্তিবর্গকে সহনশীল হতে হবে । সহনশীলতা ছাড়া ধর্মের নামে নৃশংসতা ছড়াবে। ,হয়,রা । 
সহানুভূতিশীল,রা,,।,রা,অধিক,।,দের,মধ্যে বেশি দেখা যায়।,আচরণ,,মানুষ অন্যকে ব্যথিত দেখলে তাদের সাহায্য করতে চায়। ,রা এমন বলেই তারা অন্যকে সম্মান করে এবং তাদের ভালবাসা দেখান।,সহানুভূতিশীল ব্যক্তি অন্যের দুঃখের সমবেদনা প্রকাশ এবং অন্যের সুখের শুভেচ্ছা প্রকাশ করে।  সহানুভূতিশীলতা  পিতা-মাতা ও জৈষ্ঠ ব্যক্তিদের অন্যতম বৈশিষ্ট্য জ্যেষ্ঠ ব্যক্তিদের এরূপ আচরণ তথা সান্তনা প্রকাশ ও উৎসাহ প্ প্রদানের মাধ্যমে কনিষ্ঠরা ভালো খারাপ উচিত অনুচিত এর জ্ঞান লাভ করে ও মানুষ হিসাবে বেড়ে উঠতে পারে।,হয়,রা । 
সহায়ক,রা,,।,রা,বেশি,প্রকৃতির হয় ।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,সে একজন  ,ব্যক্তি যিনি সবার সাথে সহজে যোগাযোগ করেন। তিনি সামান্য কাজেও হাত বাড়ানোর চেষ্টা করে এবং হ্রদয়ে সবার সমস্যার জন্য সাথে থাকেন। তিনি একজন, । ,স্বেচ্ছাসেবাদানকারীরা সহায়ক প্রকৃতির হয়ে থাকেন। বিপদে বা দুর্যোগে এ সকল ব্যক্তিরা অসহায় মানুষের পাশে সহায় হয়ে দাঁড়ান। অনাকাঙ্ক্ষিত দুর্যোগে এ সকল ব্যক্তিরা সহায়ক ভূমিকা পালন করে অন্যদের অনেক উপকার করেন।,হয়,রা । 
সামাজিক,রা,,।,রা,ব্যবহার অধিক,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,,আচার-আচরণ রপ্ত করা প্রয়োজন। আমরা ,দের মধ্যে এসব আচরণ বেশি দেখতে পাওয়া যায় । ,দলনেতাদের সামাজিক হতে হয়।  অন্যদের সাথে মতামত বিনিময়ে পটু হতে না পারলে পথপ্রদর্শক এই ব্যক্তিদের কাজে ব্যাঘাত দেখা দেয়।  মানুষের মানবিক প্রবৃত্তির চাহিদায় সামাজিক হওয়া অত্যন্ত স্বাভাবিক চারিত্রিক বৈশিষ্ট্য।  নেতাদের জন্য এই বৈশিষ্ট্য তাদের কর্মকান্ডের জন্য তাৎপর্যপূর্ণ।,হয়,রা । 
সাহসী,রা,,।,রা,বিপদে,ভূমিকা পালন করে ।,রা,সবার পছন্দের পাত্র ।,,যারা ,"তারা জীবনের প্রতিটি চ্যালেঞ্জ স্বতন্ত্রভাবে সম্মুখীন হতে পারে, তাই আমি ",দের ব্যাপারে চিন্তা করি তারা জীবনে ভাল করে। ,সেনাবাহিনীর সদস্যদের ,হওয়া একটি অন্যতম পূর্ব শর্ত।  নিজ দেশের রক্ষায় নিজ দেশের মানুষের নিরাপত্তায় সর্বদা নিজের জীবন বলি দেওয়ার মানসিক প্রস্তুতি নিয়ে সেনারা অবস্থান করেন।  শত্রুর সামনে সাহসের সাথে নির্ভয়ে ঝাঁপিয়ে পড়ে সাহসিকতার পরিচয় দেয় সেনারা। তারা মূলত, ।
সুশৃঙ্খল,রা,,।,রা,আচরণে,হয় ।,দের,সবাই পছন্দ করে ।,,,জীবনযাপন স্বাস্থ্য গঠনের জন্যে গুরুত্বপূর্ণ । তবে বাঙ্গালি ,"দের এই বিষয়ে গুরুত্ব কম, তাই তাদের ভগ্ন-স্বাস্থ্য ।",শিক্ষাজীবনের অন্যতম চারিত্রিক শিক্ষা সুশৃঙ্খলতা।  স্বশিক্ষিত ব্যাক্তিরা সুশৃংখল হয়ে থাকেন।  জ্ঞান লাভের যাত্রা সুশৃঙ্খলতার প্রয়োজনীয়তা উপলব্ধি করা যায়।   সমাজের সুশৃংখল আচরণ ভদ্রতার পরিচয়ক। সুশিক্ষিত শিক্ষার্থীদের মধ্যে সুশৃঙ্খলা আচরণ ফুটে ওঠে।,হয়,রা । 
সূক্ষ্ম,রা,,।,রা,,বুদ্ধির অধিকারী ।,দের,মধ্যে বেশি দেখা যায়।,চিন্তাভাবনা,জীবন সম্পর্কে তার একটি ,দৃষ্টিভঙ্গি রয়েছে। তিনি একজন , ।,অপরাধ তদন্তকারী গোয়েন্দা সংস্থার কর্মচারী তথা গোয়েন্দাদের সূক্ষ্ম চিন্তা ও পর্যবেক্ষণের মাধ্যমে সুবিচার প্রতিষ্ঠিত হয়। গোয়েন্দাদের,তদন্তের মাধ্যমে অপরাধের পেছনের সত্য বেরিয়ে আসে। চুল-চেরা বিশ্লেষণ দ্বারা অপরাধী ধরা সম্ভব হয় ও আওতায় বিচার হয়। তারা মূলত,হয়ে থাকেন। 
সৃজনশীল,রা,,।,রা,,কাজে বেশি দক্ষ ।,দের,মধ্যে বেশি লক্ষ্যনীয়।,ভাব,,-তা খুঁজতে আমি সবসময় ,"দের দিকে তাকাই, কারণ অন্যথায় তা খুঁজে পাই না ।",ব্যবসায়ীদের ব্যবসা সংক্রান্ত সাংগঠনিক আলোচনায় অংশ নিতে হবে। সৃজনশীল পেশাজীবী ও শিল্পকলার সাথে জড়িতদের কাজে কিছু অগ্রগতি হতে পারে। তবে আমরা দিনে দিনে দেখতে পাচ্ছি সৃজনশীলতা হ্রাস পেতে। আমাদের শিল্পে ,হতে দেখা যায়,দের ।
স্থিতিশীল,রা,,।,রা,মানসিক দিক দিয়ে বেশি,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,তিনি অর্থনৈতিক ভাবে বেশ,", যা আমরা উনার বয়সের একজন", থেকে আশা করি ।  ,"তিনি একজন অত্যন্ত স্থিতিশীল ব্যক্তি, যিনি প্রতিটি পরিস্থিতির জন্য উপযুক্ত এবং একটি স্থিতিশীল পদক্ষেপের উপর ভিত্তি করেন, এবং তার ব্যক্তিত্বে স্থিতিশীলতা এবং পরিস্থিতির কার্যকলাপের উপর জোর দেন। তার স্থিতিশীল ব্যক্তিত্ব তার আদর্শ এবং পেশাদারিত্বের একটি মূলস্থান এবং এটি তার বৃদ্ধি এবং সফলতা এবং সম্মান প্রদান করে। একজন","ব্যক্তির নেতৃত্বে, কর্মসংস্থানে, সমাজে, এবং সম্পর্কে স্থিতিশীলতা এবং সম্মান বজায় রাখা হয়, যা তার ব্যক্তিত্বের প্রতি প্রকাশ পায় এবং তার পরিবেশে একটি শ্রেষ্ঠ উদাহরণ প্রদান করে। তিনি একজন", ।
স্থির,রা,,।,রা,স্বভাবে,প্রকৃতির হয় ।,দের,মধ্যে বেশি ।,মনোভাব,,"ভাবে সমস্যা সমাধানে তিনি পটু, কারণ তিনি একজন", ।,ধীর স্থির মানুষকে আমি বরাবরই অনেক পছন্দ করি। তার অন্যতম একটি কারণ তাদের মধ্যে এক ধরনের কমনীয়তা কাজ করে এবং তারা পারিপার্শ্বে এক ধরনের  স্নিগ্ধতা নিয়ে আসতে পারে। এছাড়াও বিপদে পড়লে স্থির থাকা খুবই জরুরী। আমার দেখা মতে  অত্যন্ত,"একজন মানুষ তিনি, যিনি একজন", ।
স্পষ্টভাষী,রা,,।,রা,অধিক,।,রা,অগ্রণী।,হওয়ার ক্ষেত্রে ,,"হওয়া বেশ ভাল স্বভাব, তাই আমরা আশা করি",দের তেমন হতে ।,সোজা কথায় উত্তর দেওয়া মানুষকে আমরা স্পষ্টভাষী বলে বিবেচনা করি। এ ধরনের মানুষের মুখে এবং অন্তরের কথার প্রভেদ থাকে না। এছাড়াও স্পষ্টভাষী মানুষকে আপনি বিশ্বাস করতে পারেন  যে তিনি সাধ্যের অধিক প্রতিশ্রুতি দিবে না। ,হয়,রা । 
স্বজ্ঞাত,রা,,।,রা,স্বভাবে,।,দের,মধ্যে বেশি দেখা যায়।,স্বভাব ,বাকিদের কী প্রয়োজন তার একটি ,ধারণা রয়েছে তার এবং শোনার জন্য সর্বদা সেখানে থাকে। তিনি একজন, ।,"সে একজন অত্যন্ত স্বজ্ঞাত ব্যক্তি, যিনি তার প্রতিটি পরিস্থিতি এবং ব্যক্তিত্বের স্বজ্ঞাততা এবং বুদ্ধিমত্তা একটি আদর্শ সংমিশ্রণ এবং একটি সম্মানজনক পদক্ষেপের উপর ভিত্তি করেন। তার স্বজ্ঞাত ব্যক্তিত্ব তার নিজের জীবনে এবং ব্যক্তিগত উন্নতির উদ্দেশ্যে একটি মূল নীতি হিসেবে অবলম্বন করে, এবং এটি তার বৃদ্ধি এবং সফলতা এবং সম্মান প্রদান করে।",স্বভাব,দের মধ্যে দেখা যায় । 
স্বনির্ভর,রা,,।,রা,,বৈশিষ্টের হয়।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,সে অনেক চেষ্টায় ,হতে পেরেছে। সে একজন , । ,যুব সমাজের উচিত নিজেদের স্বনির্ভরতা অর্জন করা। একটি দেশের প্রগতি পুরোপুরি নির্ভর করে তার জন্য সমাজ কতটুকু প্রগতিশীল এবং স্বনির্ভর। স্বনির্ভরতা সাথেই  স্বাধীনতা  উপভোগের সুযোগ আসে।,হয়,রা । 
স্বয়ংসম্পূর্ণ,রা,,।,রা,সাধারনত ,হয়।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,সে অনেক চেষ্টায় ,হতে পেরেছে। সে একজন, । ,"দীর্ঘ পরিশ্রমের পর তিনি আজ স্বয়ংসম্পূর্ণ। এ দীর্ঘ পথ মোটেও সহজ ছিল না, অনেক ত্যাগ এবং কষ্টের পর আজ স্বয়ংসম্পূর্ণ হতে পেরেছেন। এরকম উদাহরণ আমাদের আশেপাশেই রয়েছে এবং তাদেরকে  সবার সামনে নিয়ে আসা উচিত।",হয় মূলত, ।
স্বাধীন,রা,,।,রা,চলাফেরা ও চিন্তায় বেশি,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,তার ,চিন্তা ভাবনা দেখে ভাল লাগে। তিনি একজন , বলেই হয়তো তার মধ্যে এই গুণ আছে । ,স্বাধীন চিন্তা চেতনা ও মুক্তমনা বালকের বেড়ে উঠা সময়টুকু কেটেছে স্রোতস্বিনী যৌবনা নারীর চোখে আঁকা কাজল কালো সুরমার তীরে ছান্দিক পদচারনায় । নদী ও নারীকে কখন মনের অজান্তে ভালবেসেছেন তা তার খেয়াল নেই । তার এই,চিন্তাধারা একসময় জন্ম দিয়েছে বহু যুগান্তকারী  দর্শনের। তিনি একজন, ।
